zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
53035,Iron Ridge,WI,Hustisford Waterworks,WI1140148,1063,GW,0,0,0,0.0028,,1,66,C,43.3934,-88.5441,0,,,,0,0,false,0
53036,Ixonia,WI,Hustisford Waterworks,WI1140148,1063,GW,4,0,0,0.00059,,1,68,C,43.1477,-88.5886,0,,,,10,4,false,0
53037,Jackson,WI,Jackson Waterworks,WI2670111,7844,GW,3,1,1,0.0036,,1,69,C,43.3252,-88.1626,1,Stage 2 DBP Rule,,,5,1,false,0
53038,Johnson Creek,WI,Johnson Creek Waterworks,WI1280107,3318,GW,17,1,4,0.0028,,1,69,C,43.0751,-88.7836,1,Stage 2 DBP Rule,,,10,1,false,0
53039,Juneau,WI,Juneau Waterworks,WI1140058,2627,GW,5,4,1,0.019,,1,24,F,43.3792,-88.6845,2,"Stage 1 DBP Rule;Gross Beta",,,10,3,true,0
53040,Kewaskum,WI,Kewaskum Waterworks,WI2670112,4309,GW,0,0,0,0.0054,,1,69,C,43.5214,-88.1925,0,,,,0,0,false,0
53042,Kiel,WI,Kiel Waterworks,WI4360427,3932,GW,2,0,0,0.0013,,2,82,B,43.9341,-87.9956,0,,,,8,0,false,0
53044,Kohler,WI,Kohler Waterworks,WI4600444,2271,SW,0,0,0,0.00082,,2,83,B,43.7381,-87.7867,0,,,,0,0,false,0
53045,Brookfield,WI,Brookfield Water Utility,WI2680253,29070,GW,7,1,3,0.0015,,1,64,C,43.0668,-88.1469,1,Stage 2 DBP Rule,24,2,10,3,true,0
53046,Lannon,WI,Menomonee Falls Ww - Surface Water,WI2680082,23867,SW,2,0,1,0.001045,,1,64,C,43.1497,-88.1639,0,,20,0,4,0,false,0
53047,Lebanon,WI,WATERTOWN WATERWORKS,WI1280044,23945,GW,0,0,0,,,1,40,D,43.2568,-88.6281,0,,,,0,0,false,0
53048,Lomira,WI,Lomira Waterworks,WI1140151,2701,GW,1,0,1,0.0082,,1,53,D,43.5795,-88.4513,0,,,,3,0,false,0
53049,Malone,WI,FOND DU LAC WATERWORKS,WI4200469,44303,GW,0,0,0,,,1,53,D,43.8753,-88.2871,0,,45,0,0,0,false,0
53050,Mayville,WI,Mayville Waterworks,WI1140057,5112,GW,6,3,4,0.0033,,1,53,D,43.5045,-88.5451,2,"Gross Beta;Stage 2 DBP Rule",,,10,3,true,0
53051,Menomonee Falls,WI,Menomonee Falls Ww - Surface Water,WI2680082,23867,SW,1,0,1,0.0021,,1,58,C,43.1602,-88.1128,0,,20,0,0,0,false,0
53052,Menomonee Falls,WI,Menomonee Falls Ww - Surface Water,WI2680082,23867,SW,1,0,1,0.0021,,1,64,C,43.1789,-88.1173,0,,20,0,0,0,false,0
53056,Merton,WI,HARTLAND WATERWORKS,WI2680205,9212,GW,0,0,0,,,1,40,D,43.146,-88.3097,0,,,,0,0,false,0
53057,Mount Calvary,WI,FOND DU LAC WATERWORKS,WI4200469,44303,GW,0,0,0,0.00045,,1,66,C,43.8142,-88.2399,0,,45,0,0,0,false,0
53058,Nashotah,WI,Parquelynn Village,WI2680261,450,GW,0,0,0,0.0016,,1,70,B,43.1118,-88.4089,0,,,,0,0,false,0
53059,Neosho,WI,HUSTISFORD WATERWORKS,WI1140148,1063,GW,0,0,0,,,1,40,D,43.2978,-88.5205,0,,,,0,0,false,0
53060,Newburg,WI,FREDONIA WATERWORKS,WI2460109,2279,GW,0,0,0,,,2,53,D,43.4338,-88.0623,0,,,,0,0,false,0
53061,New Holstein,WI,New Holstein Waterworks,WI4080270,3012,GW,3,0,1,0.0031,,2,80,B,43.9446,-88.0911,0,,,,4,0,false,0
53062,New Holstein,WI,New Holstein Waterworks,WI4080270,3012,GW,3,0,1,0.0031,,2,80,B,44.0679,-88.2231,0,,,,4,0,false,0
53063,Newton,WI,CLEVELAND WATERWORKS,WI4360426,1524,GW,0,0,0,,,2,53,D,43.9836,-87.7848,0,,,,0,0,false,0
53064,North Lake,WI,Evergreens,WI2680290,40,GW,3,1,1,0.001355,,1,69,C,43.1561,-88.3707,1,Stage 2 DBP Rule,,,1,1,false,0
53065,Oakfield,WI,Oakfield Waterworks,WI4200475,1058,GW,0,0,0,0.0012,,1,70,B,43.6864,-88.5569,0,,,,0,0,false,0
53066,Oconomowoc,WI,Oconomowoc Waterworks,WI2680227,15805,GW,6,0,3,0.0068,,1,54,D,43.1095,-88.4862,0,,,,8,0,false,0
53069,Okauchee,WI,Mission Lakes Ii,WI2685839,68,GW,0,0,0,0.000635,,1,66,C,43.113,-88.4323,0,,,,0,0,false,0
53070,Oostburg,WI,Oostburg Waterworks,WI4600445,3110,GW,0,0,0,0.0105,,2,69,C,43.6229,-87.797,0,,,,0,0,false,0
53072,Pewaukee,WI,Pewaukee City Water and Sewer Utility,WI2680214,8671,GW,49,27,40,0.0026,,1,40,D,43.0788,-88.2729,3,"Gross Alpha;Gross Beta;Stage 2 DBP Rule",,,10,15,true,0
53073,Plymouth,WI,Plymouth Utilities,WI4600446,8964,GW,7,1,5,0.00617,,2,76,B,43.7526,-87.9779,1,Stage 2 DBP Rule,,,10,1,true,0
